,0
rsa_#,object
order_type,object
date_ordered,datetime64[ns]
customer,object
o&g_operator,object
rig_name,object
well_name,object
county,object
state,object
county_state,object
customer_job_#,object
inspection_level,object
monitor,object
actual_ship_date,datetime64[ns]
tool_type,object
size,float64
bottom_connection,object
top_connection,object
cid/dtn,object
comments,object
ps_lobes,object
ps_stage,float64
ps_type,object
hole_temp,float64
mud_type,object
mud_weight,float64
fit,object
ps_elastomer,object
rotor_coating,object
adj/fxd,object
setting,float64
stab_req.,object
stab_size,object
float_bore,object
target_fit,float64
lower_radial_clearence,float64
upper_radial_clearence,float64
outgoing_fit,float64
delivery_ticket_start_#,object
delivery_ticket_end_#,object
returned_date,datetime64[ns]
used_or_unused,object
pr#,object
date_in_hole,datetime64[ns]
date_out_of_hole,datetime64[ns]
operator,object
rig_name.1,object
well_name.1,object
customer_job_number,object
interval,object
bha_number,float64
hole_size,float64
md_in,float64
md_out,float64
total_footage,float64
tvd_in,float64
tvd_out,float64
drilling_hours,float64
circulating_hours,float64
total_c&d_hours,float64
hours_reaming,float64
rop,float64
hours_sliding,float64
hours_rotating,float64
wob,float64
rotary_rpm,float64
avg_diff,float64
max_diff,float64
inclination_in,float64
inclination_out,float64
motor_bend_setting_on_run,float64
stab_type,object
stabilizer,float64
mud_type.1,object
mud_weight.1,float64
mud_temp,float64
%_oil,float64
%_solids,float64
%_sand,float64
chlorides,float64
rss_run?,object
tfa,float64
bit_mfg,object
dull_grade_1,object
dull_grade_2,object
dull_grade_3,object
dull_grade_4,object
dull_grade_5,object
dull_grade_6,object
dull_grade_7,object
dull_grade_8,object
run_comments,object
incoming_fit,float64
shipped_year_week,float64
returned_year_week,float64
usage,object
zone,object
shop,object
series,object
brand,object
size_range,object
line_type,object
cat_5?,object
base_config,object
full_config,object
ps_config,object
days_in_hole,object
days_out,float64
upr,object
slb_non_slb,object
